ID,type,text
8442,adverbs,famously
4191,commonWords,fan
10551,personalNouns,fan
10552,personalNouns,fancier
24132,adjs,fancier
536,infinitive_verbs,fancy
7922,general_verbs,fancy | fancied
20131,word_clues,fancy: ornate | imagination | high end | take a shine to
25328,compounds,fancywork | fancy | work
25329,compounds,fanfare | fan | fare
18794,word_clues,fang: large canine | snake tooth | vampire tooth | vicious tooth
20132,word_clues,fangs: large canines | snake teeth | vampire teeth | vicious teeth
25330,compounds,fanlight | fan | light
5166,commonWords,fans
18795,word_clues,fans: ballpark figures | artificial breeze makers | ceiling coolers
10553,personalNouns,fantast
6534,commonWords,fantastic
28000,encouraging_words,fantastic
4441,commonWords,fantasy
3162,commonWords,faq
5354,commonWords,faqs
3305,commonWords,far
8443,adverbs,far
27587,prepositions,far from
20133,word_clues,farce: parody | mockery | madcap comedy | literary genre | slapstick comedy | travesty
18796,word_clues,fare: charge | price | meter reading
25331,compounds,farewell | fare | well
4162,commonWords,farm
18797,word_clues,farm: cultivate | work the land | where crops grow
10554,personalNouns,farmer
21765,word_clues,farmer: soil tiller | one who works the land | grain grower | vegetable grower | produce producer
7081,commonWords,farmers
25332,compounds,farmhouse | farm | house
20134,word_clues,farms: cultivates | agricultural sites | works the soil | grows crops | crop sites
25333,compounds,farmyard | farm | yard
8764,pairs,farness | harness
8864,pairs,farrago | Chicago
25334,compounds,farseeing | far | seeing
10555,personalNouns,fartherer
1365,nouns,fascism
4318,commonWords,fashion
3297,commonWords,fast
8444,adverbs,fast
24133,adjs,fast-growing
18798,word_clues,fast: quick | speedy | swift | go without food
1366,nouns,fastball
537,infinitive_verbs,fasten
7923,general_verbs,fasten | fastened
21766,word_clues,fasten: fix | join together | buckle | attach firmly | snap together
10556,personalNouns,fastener
4970,commonWords,faster
10557,personalNouns,faster
21767,word_clues,faster: more quickly | less leisurely | more rapidly
4135,commonWords,fat
20135,word_clues,fatal: calamitous | deadly | terminal | lethal
10558,personalNouns,fatalist
8445,adverbs,fatally
25335,compounds,fatback | fat | back
18799,word_clues,fate: destiny | fortune | what will be | karma
24134,adjs,fated
20136,word_clues,fates: mythological trio | goddesses of destiny | destinies | outcomes
4137,commonWords,father
10559,personalNouns,father
21768,word_clues,father: sire | dad | papa
25336,compounds,fatherhood | father | hood
25337,compounds,fatherland | father | land
21769,word_clues,fathom: comprehend | grasp | get to the bottom of | nautical measure
7532,ergative_verbs,fatten
21770,word_clues,fatten: make stout | make more substantial | plump up
21771,word_clues,fatter: more prosperous | less lean | more round
21772,word_clues,faucet: water outlet | kitchen tap | water source
20137,word_clues,fault: mistake | earthquake epicenter | geologic fracture | bad tennis serve
21773,word_clues,faulty: out of order | defective | imperfect | illogical
20138,word_clues,favor: small gift | lean toward | prefer | party handout | act of kindness
10560,personalNouns,favoress
3756,commonWords,favorite
10561,personalNouns,favorite
5052,commonWords,favorites
21774,word_clues,favors: leans toward | party handouts | is partial to | prefers
24135,adjs,favourable
5608,commonWords,favourite
6169,commonWords,favourites
18800,word_clues,fawn: baby deer | gush
10562,personalNouns,fawner
538,infinitive_verbs,fax
3073,commonWords,fax
7924,general_verbs,fax | faxed
18801,word_clues,faze: shake up | disconcert | unnerve | rattle
7389,commonWords,fe
8854,pairs,fealty | realty
539,infinitive_verbs,fear
5269,commonWords,fear
7925,general_verbs,fear | feared
18802,word_clues,fear: foreboding | dread | alarm | phobia | fright
24136,adjs,fearless
20139,word_clues,fears: dreads | phobias | apprehensions | is scared of
20140,word_clues,feast: gorge | elaborate meal | banquet | gorge yourself
21775,word_clues,feasts: banquets | hearty meals | big spreads | lavish affairs | thanksgiving spreads
18803,word_clues,feat: exploit | accomplishment | heroic deed
25338,compounds,featherbed | feather | bed
24137,adjs,feathered
25339,compounds,featherweight | feather | weight
3704,commonWords,feature
10563,personalNouns,feature
3678,commonWords,featured
2922,commonWords,features
6037,commonWords,featuring
3186,commonWords,feb
3054,commonWords,february
1367,nouns,feces
3262,commonWords,federal
7073,commonWords,federation
4075,commonWords,fee
21776,word_clues,feeble: weak | lacking strength | ineffective | pathetic | powerless
21777,word_clues,feebly: weakly | without much power | pathetically
3738,commonWords,feed
534139,irregular_verbs,"feed, fed, fed"
1368,nouns,feedback
2959,commonWords,feedback
25340,compounds,feedback | feed | back
10564,personalNouns,feeder
21778,word_clues,feeder: tributary | branch line | bird attractor | birdseed holder | farm trough
4966,commonWords,feeds
3318,commonWords,feel
10565,personalNouns,feel
534140,irregular_verbs,"feel, felt, felt"
18804,word_clues,feel: handle | touch | have a hunch
10566,personalNouns,feeler
21779,word_clues,feeler: tentacle | tentative proposal | subtle overture | insect appendage
5380,commonWords,feeling
10567,personalNouns,feeling
3947,commonWords,fees
18805,word_clues,fees: charges | tolls | price add-ons
3885,commonWords,feet
18806,word_clues,feet: more foot | paws | imperial units
21780,word_clues,feisty: spirited | pugnacious | spunky | lively
6983,commonWords,fell
18807,word_clues,fell: dropped down | took a tumble | collapsed
10568,personalNouns,feller
6690,commonWords,fellow
10569,personalNouns,fellow
24138,adjs,fellow
21781,word_clues,fellow: chap | guy | subsidized grad student | academy member
10570,personalNouns,felo-de-se
8765,pairs,felon | melon
20141,word_clues,felon: convict | lawbreaker | serious offender | major criminal | career criminal
4841,commonWords,felt
3681,commonWords,female
21782,word_clues,female: egg producer | woman | not a man
540,infinitive_verbs,fence
7926,general_verbs,fence | fenced
20142,word_clues,fence: obstacle | barrier | back yard border
10571,personalNouns,fencer
21783,word_clues,fences: obstacles | barriers | back yard borders
18808,word_clues,fend: parry | ward | take care of
10572,personalNouns,fender
21784,word_clues,fennel: aromatic herb | parsley relative | anise alternative
20143,word_clues,feral: wild | unbroken | savage | untamed | not domesticated
24139,adjs,fermented
18809,word_clues,fern: forest growth | office plant | flowerless plant
20144,word_clues,ferns: flowerless plants | plants with fronds | moisture-loving plants
24140,adjs,ferocious
8446,adverbs,ferociously
1369,nouns,ferocity
21785,word_clues,ferret: domesticated polecat | somewhat uncommon pet | weasel kin
20145,word_clues,ferry: river crosser | vessel for short crossings | passenger ship
10573,personalNouns,ferryman
1370,nouns,fertilization
10574,personalNouns,fertilizer
8447,adverbs,fervently
8766,pairs,fescue | rescue
21786,word_clues,fester: rankle | rot | get worse over time
4937,commonWords,festival
18810,word_clues,feta: greek cheese | goat cheese | crumbly cheese
541,infinitive_verbs,fetch
10575,personalNouns,fetch
7927,general_verbs,fetch | fetched
1371,nouns,fetish
6677,commonWords,fetish
18811,word_clues,feud: longstanding quarrel | long dispute | vendetta
21787,word_clues,feudal: from the dark ages | like the middle ages | like medieval europe
3020,commonWords,few
6026,commonWords,ff
4402,commonWords,fi
21788,word_clues,fiasco: debacle | flop | big mess | complete failure
10576,personalNouns,fibber
6896,commonWords,fiber
20146,word_clues,fiber: dietary component | cereal stuff | bran substance | roughage | moral fortitude | strand
25341,compounds,fiberboard | fiber | board
18812,word_clues,fibs: stretches the truth | lies | falsehoods | little lies
21789,word_clues,fibula: leg bone | bone below the femur | slender leg bone
21790,word_clues,fickle: inconstant | picky | changes on a whim
4180,commonWords,fiction
27804,interjections,fiddle-dee-dee
21791,word_clues,fiddle: square dance instrument | violin cousin | small stringed instrument
10577,personalNouns,fiddler
27805,interjections,fiddlesticks
25342,compounds,fiddlesticks | fiddle | sticks
24141,adjs,fiddling
21792,word_clues,fidget: behave nervously | act nervously | act antsy
27806,interjections,fie
3019,commonWords,field
20147,word_clues,field: pasture | specialty | expanse | area of expertise
4439,commonWords,fields
21793,word_clues,fields: pastures | branches of knowledge | professions | takes ground balls
10578,personalNouns,fiend
20148,word_clues,fiend: enthusiast | buff | villain | monster | devilish one
8930,rhymelees_words,fiends
21794,word_clues,fierce: passionate | savage | resolute | vehement | determined
8448,adverbs,fiercely
21795,word_clues,fiesta: big party | celebration | spanish celebration
6737,commonWords,fifth
8931,rhymelees_words,fifth
20149,word_clues,fifth: liquor purchase | twenty percent | behind fourth
20150,word_clues,fifty: evenly split | stars on the american flag | half way to one hundred
6235,commonWords,fig
5020,commonWords,fight
534141,irregular_verbs,"fight, fought, fought"
20151,word_clues,fight: brawl | argument | melee | battle
10579,personalNouns,fighter
6121,commonWords,fighting
21796,word_clues,fights: brawls | melees | boxing matches | struggles
8767,pairs,figment | pigment
18813,word_clues,figs: often-dried fruit | mediterranean harvest | sweet fruits
3403,commonWords,figure
10580,personalNouns,figure
21797,word_clues,figure: reckon | diagram | calculate | body shape
25343,compounds,figurehead | figure | head
5071,commonWords,figures
542,infinitive_verbs,file
2726,commonWords,file
10581,personalNouns,file
7928,general_verbs,file | filed
18814,word_clues,file: carpentry tool | put in place | arrange in a cabinet
5026,commonWords,filed
10582,personalNouns,filer
3068,commonWords,files
6904,commonWords,filing
543,infinitive_verbs,fill
4736,commonWords,fill
7533,ergative_verbs,fill
7929,general_verbs,fill | filled
5705,commonWords,filled
10583,personalNouns,filler
21798,word_clues,filler: loose leaf paper | padding | something meant only to take up time
21799,word_clues,fillet: choice cut | boneless cut of meat | common fish order
24142,adjs,filling
544,infinitive_verbs,film
3122,commonWords,film
8932,rhymelees_words,film
7930,general_verbs,film | filmed
18815,word_clues,film: thin coat | movie | used in old cameras
8933,rhymelees_words,filmed
4733,commonWords,films
3969,commonWords,filter
6683,commonWords,filters
20152,word_clues,filth: refuse | dirt | squalor | smut | crud | scum
21800,word_clues,filthy: obscene | foul-mouthed | disgusting
3265,commonWords,final
1372,nouns,finale
21801,word_clues,finale: denouement | closing number | last act | ending
4122,commonWords,finally
3275,commonWords,finance
27679,resume_action_words,financed
2971,commonWords,financial
10584,personalNouns,financier
5755,commonWords,financing
2545,commonWords,find
534142,irregular_verbs,"find, found, found"
18816,word_clues,find: discover | locate | come upon
6090,commonWords,finder
10585,personalNouns,finder
4621,commonWords,finding
6035,commonWords,findings
6734,commonWords,finds
3559,commonWords,fine
18817,word_clues,fine: in good shape | monetary penalty | smallest grain
21802,word_clues,finely: with subtlety | with class | minutely
10586,personalNouns,finer
21803,word_clues,finest: best | cream of the crop | ultimate | the best | most exquisite
7353,commonWords,finger
21804,word_clues,finger: ring holder | digit | shot glass measure
25344,compounds,fingerboard | finger | board
25345,compounds,fingernail | finger | nail
25346,compounds,fingerprint | finger | print
25347,compounds,fingertip | finger | tip
8768,pairs,finis | Guinness
5119,commonWords,finish
21805,word_clues,finish: complete | polish off | come to an end | maze goal | final furniture coat
5429,commonWords,finished
10587,personalNouns,finisher
21806,word_clues,finite: bounded | limited | having limits | measurable
6634,commonWords,finland
545,infinitive_verbs,fire
3405,commonWords,fire
7534,ergative_verbs,fire
7931,general_verbs,fire | fired
18818,word_clues,fire: blaze | flames | campsite staple
25348,compounds,firearm | fire | arm
25349,compounds,fireball | fire | ball
25350,compounds,fireboat | fire | boat
25351,compounds,firebomb | fire | bomb
10588,personalNouns,firebrand
25352,compounds,firebrand | fire | brand
25353,compounds,firebreak | fire | break
25354,compounds,firebug | fire | bug
25355,compounds,firecracker | fire | cracker
25356,compounds,firedamp | fire | damp
25357,compounds,firefighter | fire | fighter
25358,compounds,firefly | fire | fly
6953,commonWords,firefox
25359,compounds,firehouse | fire | house
10589,personalNouns,fireman
25360,compounds,fireman | fire | man
25361,compounds,fireplace | fire | place
25362,compounds,fireplug | fire | plug
25363,compounds,firepower | fire | power
20153,word_clues,fires: flames | things to put out | drops from the payroll | lets someone go | makes redundant
25364,compounds,fireside | fire | side
25365,compounds,firetrap | fire | trap
25366,compounds,firewater | fire | water
25367,compounds,firewood | fire | wood
25368,compounds,firework | fire | work
1373,nouns,firing
4299,commonWords,firm
18819,word_clues,firm: unshakable | unyielding | unbending | fixed
24143,adjs,firmer
21807,word_clues,firmly: solidly | securely | resolutely | unwaveringly
5469,commonWords,firms
2528,commonWords,first
20154,word_clues,first: leading | in the lead | original | leading the pack
25369,compounds,firsthand | first | hand
5700,commonWords,fiscal
21808,word_clues,fiscal: financial | accounting year | budgetary
4008,commonWords,fish
18820,word_clues,fish: aquarium denizen | finned animals | swimming creatures
25370,compounds,fishbowl | fish | bowl
25371,compounds,fishcake | fish | cake
10590,personalNouns,fisher
10591,personalNouns,fisherman
25372,compounds,fisherman | fisher | man
25373,compounds,fisherwoman | fisher | woman
25374,compounds,fisheye | fish | eye
25375,compounds,fishhook | fish | hook
4436,commonWords,fishing
25376,compounds,fishmonger | fish | monger
25377,compounds,fishnet | fish | net
25378,compounds,fishpond | fish | pond
25379,compounds,fishtail | fish | tail
10592,personalNouns,fishwife
18821,word_clues,fist: boxer's weapon | clenched hand
546,infinitive_verbs,fit
4376,commonWords,fit
7932,general_verbs,fit | fitted
534143,irregular_verbs,"fit, fit, fit"
3914,commonWords,fitness
8770,pairs,fitness | witness
24144,adjs,fitted
10593,personalNouns,fitter
3209,commonWords,five
18822,word_clues,five: single digit number | less than ten | fingers on one hand
547,infinitive_verbs,fix
4909,commonWords,fix
7933,general_verbs,fix | fixed
21809,word_clues,fixate: obsess | focus intently | become overly attached
4117,commonWords,fixed
1374,nouns,fixing
18823,word_clues,fizz: effervescence | bubbles | soda feature
21810,word_clues,fizzle: crackle | run out of steam | electric noise
3913,commonWords,fl
18824,word_clues,flab: blubber | spare tire | fatty bits
316,strong_words,flabbergasted
21811,word_clues,flabby: hardly trim | chubby | fleshy
4858,commonWords,flag
18825,word_clues,flag: standard | colors | national symbol
25380,compounds,flagpole | flag | pole
7039,commonWords,flags
20155,word_clues,flags: gets tired | pennants | national symbols | penalty markers | markers
25381,compounds,flagship | flag | ship
8771,pairs,flagship | hagship
25382,compounds,flagstaff | flag | staff
25383,compounds,flagstone | flag | stone
20156,word_clues,flail: beat | thrash | swing wildly | thrash about | threshing tool
20157,word_clues,flair: panache | knack | natural talent | distinctive style
20158,word_clues,flake: peel off | cereal morsel | bit of snow | ditsy sort | unreliable one
21812,word_clues,flakes: screwballs | snow fall | some breakfast cereals
20159,word_clues,flame: pilot light | olympics symbol | fire
25384,compounds,flameout | flame | out
21813,word_clues,flames: fires | lit candle features | blazes
24145,adjs,flammable
8934,rhymelees_words,flange
20160,word_clues,flank: beef cut | steak cut | kind of steak | side of a military formation | sneak up on the side
10594,personalNouns,flanker
548,infinitive_verbs,flap
7934,general_verbs,flap | flapped
18826,word_clues,flap: commotion | plane part | wave in the wind
25385,compounds,flapjack | flap | jack
10595,personalNouns,flapper
20161,word_clues,flaps: envelope parts | airplane parts | tent openings | tries to fly | birdlike motions
20162,word_clues,flare: distress signal | emergency signal | highway warning | danger signal | solar phenomenon
549,infinitive_verbs,flash
3619,commonWords,flash
7535,ergative_verbs,flash
7935,general_verbs,flash | flashed
20163,word_clues,flash: pizazz | jiffy | instant | burst of light | news bulletin
25386,compounds,flashback | flash | back
10596,personalNouns,flasher
1375,nouns,flashing
6332,commonWords,flashing
25387,compounds,flashlight | flash | light
21814,word_clues,flashy: ostentatious | overly eye-catching | gaudy
1376,nouns,flask
20164,word_clues,flask: lab container | booze holder | personal liquor supply
4211,commonWords,flat
18827,word_clues,flat: tire trouble | out of fizz | not round
25388,compounds,flatboat | flat | boat
25389,compounds,flatcar | flat | car
25390,compounds,flatfish | flat | fish
25391,compounds,flatfoot | flat | foot
25392,compounds,flatiron | flat | iron
7536,ergative_verbs,flatten
10597,personalNouns,flatter
10598,personalNouns,flatterer
25393,compounds,flatware | flat | ware
21815,word_clues,flaunt: show off | parade | show shamelessly
21816,word_clues,flavor: taste sensation | ice cream choice | chewing gum choice
18828,word_clues,flaw: scratch | blemish | imperfection
24146,adjs,flawed
20165,word_clues,flaws: imperfections | faults | defects | weak spots
18829,word_clues,flea: tiny insect | circus insect | dog's enemy
20166,word_clues,fleas: dog bane | some circus performers | pet parasites | plague carriers
24147,adjs,fledgling
534144,irregular_verbs,"flee, fled, fled"
18830,word_clues,flee: take off | skedaddle | get away | run away | retreat
8772,pairs,fleecy | greasy
10599,personalNouns,fleer
20167,word_clues,flees: takes off | skedaddles | gets away | runs away | retreats
10600,personalNouns,flesh
20168,word_clues,flesh: skin | meat | fruit pulp | can be bruised | meaty bits
24148,adjs,fleshy
10601,personalNouns,fletcher
18831,word_clues,flew: took off | piloted | took to the air
6167,commonWords,flexible
24149,adjs,flexible
20169,word_clues,flick: wrist action | wrist movement | finger whip
24150,adjs,flickering
10602,personalNouns,flier
20170,word_clues,flies: goes quickly | takes a jet | rides in a plane | moves through the air | home pests
4506,commonWords,flight
4940,commonWords,flights
534145,irregular_verbs,"fling, flung, flung"
20171,word_clues,flint: spark producer | camping aid | old school fire starter
25394,compounds,flintlock | flint | lock
7537,ergative_verbs,flip
18832,word_clues,flip: somersault | toss a coin | use a spatula | turn over
10603,personalNouns,flippant
20172,word_clues,flips: somersaults | tosses a coin | uses a spatula | turns over
10604,personalNouns,flirt
20173,word_clues,flirt: coquette | make goo-goo eyes | act amorously | tease amorously
21817,word_clues,flirts: teases | frivolous lovers | attempts a pass | plays footsie
550,infinitive_verbs,float
7538,ergative_verbs,float
7936,general_verbs,float | floated
10605,personalNouns,floater
305,strong_words,floccinaucinihilipilification
20174,word_clues,flock: rush to | bunch up | group of birds
21818,word_clues,flocks: rushes to | bunches up | groups of birds
10606,personalNouns,flogger
551,infinitive_verbs,flood
7262,commonWords,flood
7539,ergative_verbs,flood
7937,general_verbs,flood | flooded
20175,word_clues,flood: overwhelm | escape the bounds | overflow
25395,compounds,floodgate | flood | gate
25396,compounds,floodlight | flood | light
21819,word_clues,floods: overwhelms | escapes the bounds | overflows
3978,commonWords,floor
20176,word_clues,floor: flabbergast | blow away | bowl over | stun | amaze | astound | astonish | knock to the ground
25397,compounds,floorboard | floor | board
21820,word_clues,floors: knocks down | stories | elevator stops | levels
10607,personalNouns,floorwalker
25398,compounds,floorwalker | floor | walker
25399,compounds,flophouse | flop | house
1377,nouns,flora
24151,adjs,floral
21821,word_clues,floral: like hawaiian shirts | type of arrangement | blossomy | like some fabrics
3377,commonWords,florida
10608,personalNouns,florist
20177,word_clues,floss: dental directive | dental thread | clean between the teeth
20178,word_clues,flour: baking need | milled wheat | gravy ingredient | bread ingredient
10609,personalNouns,flouter
552,infinitive_verbs,flow
4212,commonWords,flow
7938,general_verbs,flow | flowed
18833,word_clues,flow: run smoothly | stream | move like lava
553,infinitive_verbs,flower
4840,commonWords,flower
7939,general_verbs,flower | flowered
21822,word_clues,flower: blossom | boutonniere | scent maker | spring bloom
25400,compounds,flowerbed | flower | bed
24152,adjs,flowering
25401,compounds,flowerpot | flower | pot
3849,commonWords,flowers
24153,adjs,flowing
21823,word_clues,fluent: smooth | well spoken | like a native speaker | linguistically gifted | spoken with ease
20179,word_clues,fluff: lightweight reporting | downy mass | trivial stuff | padding
21824,word_clues,fluffy: like rabbits | fuzzy | soft and hairy
20180,word_clues,fluid: smooth | not fixed | not settled | graceful | smooth in motion
21825,word_clues,fluids: liquids | not solids | flowing substances
1378,nouns,fluke
20181,word_clues,fluke: stroke of luck | chance happening | accidental success | whale tail feature
333,strong_words,flummoxed
20182,word_clues,flung: hurled | threw | tossed hard
7540,ergative_verbs,flunk
20183,word_clues,flunk: fail | not pass | keep back
21826,word_clues,flurry: bit of winter weather | light snowfall | whirlwind
7541,ergative_verbs,flush
20184,word_clues,flush: loaded | even | squarely | good poker hand
20185,word_clues,flute: wind instrument | marching band instrument | piccolo cousin
21827,word_clues,flutes: orchestra section | piccolo cousins | champagne glasses
18834,word_clues,flux: constant change | instability
5251,commonWords,fly
7542,ergative_verbs,fly
534146,irregular_verbs,"fly, flew, flown"
25402,compounds,flyblown | fly | blown
25403,compounds,flyby | fly | by
25404,compounds,flycatcher | fly | catcher
6437,commonWords,flying
25405,compounds,flyleaf | fly | leaf
25406,compounds,flypaper | fly | paper
25407,compounds,flyspeck | fly | speck
25408,compounds,flyweight | fly | weight
25409,compounds,flywheel | fly | wheel
5802,commonWords,fm
18835,word_clues,foam: lather | froth | surf feature
20186,word_clues,foamy: frothy | like cappuccino | like waves | like whitewater
20187,word_clues,focal: central | centrally located | middle | optical point
3675,commonWords,focus
20188,word_clues,focus: concentrate | adjust a camera lens | think hard | adjust binoculars
6138,commonWords,focused
21828,word_clues,fodder: raw material | livestock food | resources to be used
10610,personalNouns,foe
24154,adjs,foggy
20189,word_clues,foggy: unclear | not clear | misty | like san francisco
25410,compounds,foghorn | fog | horn
8935,rhymelees_words,foible
18836,word_clues,foil: fencing weapon | aluminum wrap | dramatic counterpart
20190,word_clues,foist: impose | pass off | pass off as genuine
554,infinitive_verbs,fold
7543,ergative_verbs,fold
7940,general_verbs,fold | folded
18837,word_clues,fold: finish the laundry | give up | origami verb
6283,commonWords,folder
10611,personalNouns,folder
24155,adjs,folic
6920,commonWords,folk
18838,word_clues,folk: music genre | kind of tale
1379,nouns,folklore
25411,compounds,folklore | folk | lore
7319,commonWords,folks
555,infinitive_verbs,follow
3609,commonWords,follow
7941,general_verbs,follow | followed
21829,word_clues,follow: succeed | track | trail
4978,commonWords,followed
1380,nouns,follower
10612,personalNouns,follower
2763,commonWords,following
4724,commonWords,follows
20191,word_clues,folly: madness | bad move | nonsensical act | indiscretion | huge mistake
10613,personalNouns,fomenter
21830,word_clues,fondle: touch lovingly | touch affectionately | handle
10614,personalNouns,fondler
10615,personalNouns,fondling
8449,adverbs,fondly
5063,commonWords,font
18839,word_clues,font: type selection | typeface
27807,interjections,foo
2863,commonWords,food
18840,word_clues,food: dietary concern | nutritional topic | supermarket offering
5984,commonWords,foods
20192,word_clues,foods: dietary concerns | nutritional topics | supermarket offerings
25412,compounds,foodstuff | food | stuff
27808,interjections,fooey
556,infinitive_verbs,fool
7942,general_verbs,fool | fooled
18841,word_clues,fool: deceive | dupe | court jester
24156,adjs,foolhardy
25413,compounds,foolhardy | fool | hardy
24157,adjs,foolish
8450,adverbs,foolishly
20193,word_clues,fools: puts one over on | tricks | jesters | prank victims
4453,commonWords,foot
18842,word_clues,foot: part of a yard | shoe insert | toe holder
3919,commonWords,football
25414,compounds,football | foot | ball
25415,compounds,footboard | foot | board
25416,compounds,footbridge | foot | bridge
21831,word_clues,footer: bottom of the page | page identifier | bottom margin
25417,compounds,footfall | foot | fall
25418,compounds,foothill | foot | hill
1381,nouns,foothold
25419,compounds,foothold | foot | hold
1382,nouns,footing
25420,compounds,footlights | foot | lights
25421,compounds,footlocker | foot | locker
25422,compounds,footloose | foot | loose
10616,personalNouns,footman
25423,compounds,footman | foot | man
25424,compounds,footnote | foot | note
25425,compounds,footpath | foot | path
25426,compounds,footprint | foot | print
25427,compounds,footrest | foot | rest
25428,compounds,footstep | foot | step
25429,compounds,footstool | foot | stool
25430,compounds,footwear | foot | wear
25431,compounds,footwork | foot | work
24158,adjs,footy
10617,personalNouns,fop
2452,commonWords,for
27533,prepositions,for
27615,prepositions,for the sake of
21832,word_clues,forage: search | search for food | cattle food | livestock food | hunt for food | hunt
10618,personalNouns,forager
534147,irregular_verbs,"forbid, forbade, forbidden"
557,infinitive_verbs,force
3467,commonWords,force
7943,general_verbs,force | forced
20194,word_clues,force: might | compel | coerce | strength | power
5018,commonWords,forced
4791,commonWords,forces
4396,commonWords,ford
18843,word_clues,ford: cross moving water | wade across
25432,compounds,forearm | fore | arm
25433,compounds,forebear | fore | bear
25434,compounds,forebrain | fore | brain
5138,commonWords,forecast
25435,compounds,forecast | fore | cast
10619,personalNouns,forecaster
25436,compounds,forecastle | fore | castle
25437,compounds,foreclose | fore | close
25438,compounds,foreclosure | fore | closure
25439,compounds,foredoom | fore | doom
10620,personalNouns,forefather
25440,compounds,forefather | fore | father
25441,compounds,forefeet | fore | feet
1383,nouns,forefinger
25442,compounds,forefinger | fore | finger
25443,compounds,forefoot | fore | foot
1384,nouns,forefront
25444,compounds,forefront | fore | front
25445,compounds,forego | fore | go
25446,compounds,foregone | fore | gone
25447,compounds,foreground | fore | ground
24159,adjs,forehand
25448,compounds,forehand | fore | hand
25449,compounds,forehead | fore | head
3633,commonWords,foreign
25450,compounds,foreknowledge | fore | knowledge
25451,compounds,foreleg | fore | leg
25452,compounds,forelimb | fore | limb
25453,compounds,forelock | fore | lock
25454,compounds,foreman | fore | man
25455,compounds,foremast | fore | mast
25456,compounds,foremost | fore | most
25457,compounds,forenoon | fore | noon
25458,compounds,forepaw | fore | paw
25459,compounds,forequarter | fore | quarter
25460,compounds,forerunner | fore | runner
25461,compounds,foresail | fore | sail
25462,compounds,foresee | fore | see
25463,compounds,foreshadow | fore | shadow
25464,compounds,foreshore | fore | shore
25465,compounds,foreshorten | fore | shorten
25466,compounds,foresight | fore | sight
4324,commonWords,forest
25467,compounds,forestall | fore | stall
10621,personalNouns,forester
25468,compounds,foretaste | fore | taste
25469,compounds,foretell | fore | tell
25470,compounds,forethought | fore | thought
25471,compounds,foretold | fore | told
6530,commonWords,forever
25472,compounds,forever | for | ever
25473,compounds,forewarn | fore | warn
25474,compounds,foreword | fore | word
10622,personalNouns,forfeiter
20195,word_clues,forge: smithing workshop | shape using heat | beat into shape | imitate a signature | create a false document
10623,personalNouns,forger
5508,commonWords,forget
25475,compounds,forget | for | get
534148,irregular_verbs,"forget, forgot, forgotten"
21833,word_clues,forget: fail to remember | be affected by a recall problem | lose a memory
25476,compounds,forgive | for | give
534149,irregular_verbs,"forgive, forgave, forgiven"
1385,nouns,forgiveness
10624,personalNouns,forgiver
4961,commonWords,forgot
25477,compounds,forgot | for | got
21834,word_clues,forgot: left behind | couldn't remember | drew a blank
7196,commonWords,forgotten
18844,word_clues,fork: type of silverware | eating utensil | split in the path
24160,adjs,forked
25478,compounds,forklift | fork | lift
20196,word_clues,forks: branches | splits in the path | salad utensils
10625,personalNouns,forlorn
558,infinitive_verbs,form
2813,commonWords,form
7944,general_verbs,form | formed
18845,word_clues,form: mold | shape | document to fill out
5853,commonWords,formal
21835,word_clues,formal: dance | starchy | not casual | dressy
1386,nouns,formality
3154,commonWords,format
21836,word_clues,format: arrangement | layout | erase a hard drive
1387,nouns,formation
6508,commonWords,formation
24161,adjs,formative
6273,commonWords,formats
6207,commonWords,formed
4198,commonWords,former
10626,personalNouns,former
21837,word_clues,former: previous | not latter | preceding
25479,compounds,formfitting | form | fitting
3723,commonWords,forms
1388,nouns,formula
6075,commonWords,formula
24162,adjs,formulaic
27680,resume_action_words,formulated
10627,personalNouns,fornicator
10628,personalNouns,fornicatress
534150,irregular_verbs,"forsake, forsook, forsaken"
10629,personalNouns,forsooth
4786,commonWords,fort
18846,word_clues,fort: army outpost | stronghold | frontier trading post
6109,commonWords,forth
25480,compounds,forthwith | forth | with
10630,personalNouns,fortieth
18499,units_of_time,fortnight
25481,compounds,fortnight | fort | night
8451,adverbs,fortunately
20197,word_clues,forty: two score | milestone birthday | halfway to eighty | winks in a nap
2706,commonWords,forum
20198,word_clues,forum: discussion group | discussion venue | place for a panel | discussion site | public meeting
2936,commonWords,forums
3848,commonWords,forward
10631,personalNouns,forwarder
10632,personalNouns,fossil
21838,word_clues,fossil: dig find | thing of the past | dig discovery | paleontologist's find | dinosaur remnant
10633,personalNouns,fossilist
6905,commonWords,foster
10634,personalNouns,foster
21839,word_clues,foster: encourage | nourish | cherish | promote | nurture
7263,commonWords,foto
21840,word_clues,fought: brawled | exchanged blows | attacked | did battle | quarreled
24163,adjs,foul-mouthed
18847,word_clues,foul: awful | not fair | rotten | smelly
559,infinitive_verbs,found
2740,commonWords,found
7945,general_verbs,found | founded
20199,word_clues,found: came across | establish | stumbled upon | stumbled on to | recovered
3695,commonWords,foundation
7344,commonWords,founded
10635,personalNouns,founder
10636,personalNouns,foundress
8773,pairs,fountain | mountain
25482,compounds,fountainhead | fountain | head
3045,commonWords,four
10637,personalNouns,four-in-hand
18848,word_clues,four: square sides | quartet count | single digit number
25483,compounds,foursquare | four | square
10638,personalNouns,fourteenth
5448,commonWords,fourth
10639,personalNouns,fourth
